"lista","poprzedni"
"[aa]","Sojusz Lewicy Demokratycznej"
"[ab]","Polskie Stronnictwo Ludowe"
"[ac]","KWW Mniejszość Niemiecka"
"[u]","Akcja Wyborcza Solidarność"
"[v]","Ruch Odbudowy Polski"
"[y]","Unia Wolności"
