kadencja,partia,kolor,wikilink
5,Prawica Rzeczypospolitej,#BE282D,/wiki/Prawica_Rzeczypospolitej
5,KWW Mniejszość Niemiecka,#0780C4,/wiki/Mniejszo%C5%9B%C4%87_Niemiecka_(komitet_wyborczy)
5,Niezrzeszeni,#E6E6E6,
6,Platforma Obywatelska RP,#FCA241,/wiki/Platforma_Obywatelska
6,Prawo i Sprawiedliwość,#073A76,/wiki/Prawo_i_Sprawiedliwo%C5%9B%C4%87
6,Sojusz Lewicy Demokratycznej,#E2001A,/wiki/Sojusz_Lewicy_Demokratycznej
6,Polskie Stronnictwo Ludowe,#1BB100,/wiki/Polskie_Stronnictwo_Ludowe
6,Polska Jest Najważniejsza,#8C0046,/wiki/Polska_Jest_Najwa%C5%BCniejsza
6,Socjaldemokracja Polska,#C8191E,/wiki/Socjaldemokracja_Polska
6,KWW Mniejszość Niemiecka,#0780C4,/wiki/Mniejszo%C5%9B%C4%87_Niemiecka_(komitet_wyborczy)
6,Niezrzeszeni,#E6E6E6,
7,Platforma Obywatelska RP,#FCA241,/wiki/Platforma_Obywatelska
7,Prawo i Sprawiedliwość,#073A76,/wiki/Prawo_i_Sprawiedliwo%C5%9B%C4%87
7,Polskie Stronnictwo Ludowe,#1BB100,/wiki/Polskie_Stronnictwo_Ludowe
7,Sojusz Lewicy Demokratycznej,#E2001A,/wiki/Sojusz_Lewicy_Demokratycznej
7,Zjednoczona Prawica,#FFFF00,/wiki/Zjednoczona_Prawica
7,Ruch Palikota,#F08705,/wiki/Ruch_Palikota
7,Biało-Czerwoni,#FF0004,/wiki/Bia%C5%82o-Czerwoni
7,KWW Mniejszość Niemiecka,#0780C4,/wiki/Mniejszo%C5%9B%C4%87_Niemiecka_(komitet_wyborczy)
7,Niezrzeszeni,#E6E6E6,
8,Prawo i Sprawiedliwość,#073A76,/wiki/Prawo_i_Sprawiedliwo%C5%9B%C4%87
8,Platforma Obywatelska RP,#FCA241,/wiki/Platforma_Obywatelska
8,KWW „Kukiz’15”,#000000,/wiki/Kukiz%E2%80%9915
8,Nowoczesna Ryszarda Petru,#104CAC,/wiki/Nowoczesna
8,Polskie Stronnictwo Ludowe,#1BB100,/wiki/Polskie_Stronnictwo_Ludowe
8,KWW Mniejszość Niemiecka,#0780C4,/wiki/Mniejszo%C5%9B%C4%87_Niemiecka_(komitet_wyborczy)
