"","kadencja","etap","lista","klub"
"1309","II","start","Włodzimierz Bogusławski","Klub Parlamentarny Polskiego Stronnictwa Ludowego"
"1310","II","end","Włodzimierz Cimoszewicz","Sojusz Lewicy Demokratycznej Klub Parlamentarny"
"1311","II","start","Włodzimierz Cimoszewicz","Sojusz Lewicy Demokratycznej Klub Parlamentarny"
"1312","II","end","Włodzimierz Konarski","Sojusz Lewicy Demokratycznej Klub Parlamentarny"
"1313","II","start","Włodzimierz Konarski","Sojusz Lewicy Demokratycznej Klub Parlamentarny"
"1314","II","end","Włodzimierz Nieporęt","Sojusz Lewicy Demokratycznej Klub Parlamentarny"
"1315","II","start","Włodzimierz Nieporęt","Sojusz Lewicy Demokratycznej Klub Parlamentarny"
"1316","II","end","Włodzimierz Sitek","Sojusz Lewicy Demokratycznej Klub Parlamentarny"
"1317","II","start","Włodzimierz Sitek","Sojusz Lewicy Demokratycznej Klub Parlamentarny"
"1318","II","end","Wojciech Arkuszewski","Unia Demokratyczna"
"1319","II","start","Wojciech Arkuszewski","Koło Konserwatywno-Ludowe"
"1320","II","end","Wojciech Błasiak","Konfederacja Polski Niepodległej"
"1321","II","start","Wojciech Błasiak","Federacyjny Klub Parlamentarny na rzecz Akcji Wyborczej Solidarność"
"1322","II","end","Wojciech Borowik","Unia Pracy Klub Parlamentarny"
"1323","II","start","Wojciech Borowik","Unia Pracy Klub Parlamentarny"
"1324","II","end","Wojciech Grabałowski","Sojusz Lewicy Demokratycznej Klub Parlamentarny"
"1325","II","start","Wojciech Grabałowski","Sojusz Lewicy Demokratycznej Klub Parlamentarny"
"1326","II","end","Wojciech Lamentowicz","Unia Pracy"
"1327","II","start","Wojciech Lamentowicz","Posłowie niezrzeszeni"
"1328","II","end","Wojciech Nowaczyk","Sojusz Lewicy Demokratycznej Klub Parlamentarny"
"1329","II","start","Wojciech Nowaczyk","Sojusz Lewicy Demokratycznej Klub Parlamentarny"
"1330","II","end","Wojciech Zarzycki","Klub Parlamentarny Polskiego Stronnictwa Ludowego"
"1331","II","start","Wojciech Zarzycki","Klub Parlamentarny Polskiego Stronnictwa Ludowego"
"1332","II","end","Zbigniew Bomba","Sojusz Lewicy Demokratycznej Klub Parlamentarny"
"1333","II","start","Zbigniew Bomba","Sojusz Lewicy Demokratycznej Klub Parlamentarny"
"1334","II","end","Zbigniew Bujak","Unia Pracy Klub Parlamentarny"
"1335","II","start","Zbigniew Bujak","Unia Pracy Klub Parlamentarny"
"1336","II","end","Zbigniew Galek","Klub Parlamentarny Polskiego Stronnictwa Ludowego"
"1337","II","start","Zbigniew Galek","Klub Parlamentarny Polskiego Stronnictwa Ludowego"
"1338","II","end","Zbigniew Janowski","Sojusz Lewicy Demokratycznej Klub Parlamentarny"
"1339","II","start","Zbigniew Janowski","Sojusz Lewicy Demokratycznej Klub Parlamentarny"
"1340","II","end","Zbigniew Kaniewski","Sojusz Lewicy Demokratycznej Klub Parlamentarny"
"1341","II","start","Zbigniew Kaniewski","Sojusz Lewicy Demokratycznej Klub Parlamentarny"
"1342","II","end","Zbigniew Mierzwa","Klub Parlamentarny Polskiego Stronnictwa Ludowego"
"1343","II","start","Zbigniew Mierzwa","Klub Parlamentarny Polskiego Stronnictwa Ludowego"
"1344","II","end","Zbigniew Pietrzykowski","Koło Parlamentarne Bezpartyjnego Bloku Wspierania Reform"
"1345","II","start","Zbigniew Pietrzykowski","Koło Parlamentarne Bezpartyjnego Bloku Wspierania Reform"
"1346","II","end","Zbigniew Siemiątkowski","Sojusz Lewicy Demokratycznej Klub Parlamentarny"
"1347","II","start","Zbigniew Siemiątkowski","Sojusz Lewicy Demokratycznej Klub Parlamentarny"
"1348","II","end","Zbigniew Sobotka","Sojusz Lewicy Demokratycznej Klub Parlamentarny"
"1349","II","start","Zbigniew Sobotka","Sojusz Lewicy Demokratycznej Klub Parlamentarny"
"1350","II","end","Zbigniew Szczypiński","Unia Pracy"
"1351","II","start","Zbigniew Szczypiński","Posłowie niezrzeszeni"
"1352","II","end","Zbigniew Wieczorek","Sojusz Lewicy Demokratycznej Klub Parlamentarny"
"1353","II","start","Zbigniew Wieczorek","Sojusz Lewicy Demokratycznej Klub Parlamentarny"
"1354","II","end","Zbigniew Zysk","Unia Pracy"
"1355","II","start","Zbigniew Zysk","Posłowie niezrzeszeni"
"1356","II","end","Zbyszek Zaborowski","Sojusz Lewicy Demokratycznej Klub Parlamentarny"
"1357","II","start","Zbyszek Zaborowski","Sojusz Lewicy Demokratycznej Klub Parlamentarny"
"1358","II","end","Zdobysław Milewski","Unia Demokratyczna"
"1359","II","start","Zdobysław Milewski","Koło Konserwatywno-Ludowe"
"1360","II","end","Zdzisław Pisarek","Koło Parlamentarne Bezpartyjnego Bloku Wspierania Reform"
"1361","II","start","Zdzisław Pisarek","Koło Parlamentarne Bezpartyjnego Bloku Wspierania Reform"
"1362","II","end","Zdzisław Podkański","Klub Parlamentarny Polskiego Stronnictwa Ludowego"
"1363","II","start","Zdzisław Podkański","Klub Parlamentarny Polskiego Stronnictwa Ludowego"
"1364","II","end","Zdzisław Tuszyński","Sojusz Lewicy Demokratycznej Klub Parlamentarny"
"1365","II","start","Zdzisław Tuszyński","Sojusz Lewicy Demokratycznej Klub Parlamentarny"
"1366","II","end","Zenon Kufel","Sojusz Lewicy Demokratycznej Klub Parlamentarny"
"1367","II","start","Zenon Kufel","Sojusz Lewicy Demokratycznej Klub Parlamentarny"
"1368","II","end","Zofia Grzebisz-Nowicka","Sojusz Lewicy Demokratycznej Klub Parlamentarny"
"1369","II","start","Zofia Grzebisz-Nowicka","Sojusz Lewicy Demokratycznej Klub Parlamentarny"
"1370","II","end","Zofia Wilczyńska","Sojusz Lewicy Demokratycznej Klub Parlamentarny"
"1371","II","start","Zofia Wilczyńska","Sojusz Lewicy Demokratycznej Klub Parlamentarny"
"1372","II","end","Zygmunt Bartoszewicz","Klub Parlamentarny Polskiego Stronnictwa Ludowego"
"1373","II","start","Zygmunt Bartoszewicz","Klub Parlamentarny Polskiego Stronnictwa Ludowego"
"1374","II","end","Zygmunt Cybulski","Sojusz Lewicy Demokratycznej Klub Parlamentarny"
"1375","II","start","Zygmunt Cybulski","Sojusz Lewicy Demokratycznej Klub Parlamentarny"
"1376","II","end","Zygmunt Jakubczyk","Unia Pracy Klub Parlamentarny"
"1377","II","start","Zygmunt Jakubczyk","Unia Pracy Klub Parlamentarny"
"1378","II","end","Zygmunt Suszczewicz","Klub Parlamentarny Polskiego Stronnictwa Ludowego"
"1379","II","start","Zygmunt Suszczewicz","Klub Parlamentarny Polskiego Stronnictwa Ludowego"
"1380","III","start","Adam Biela","Klub Parlamentarny Akcji Wyborczej Solidarność"
"1381","III","end","Adam Biela","Klub Parlamentarny Akcji Wyborczej Solidarność"
"1382","III","start","Adam Bielan","Klub Parlamentarny Prawo i Sprawiedliwość"
"1383","III","end","Adam Bielan","Akcja Wyborcza Solidarność"
"1384","III","start","Adam Łoziński","Klub Parlamentarny Akcji Wyborczej Solidarność"
"1385","III","end","Adam Łoziński","Klub Parlamentarny Akcji Wyborczej Solidarność"
"1386","III","start","Adam Słomka","Posłowie niezrzeszeni"
"1387","III","end","Adam Słomka","Akcja Wyborcza Solidarność"
"1388","III","start","Adam Szejnfeld","Posłowie niezrzeszeni"
"1389","III","end","Adam Szejnfeld","Unia Wolności"
"1390","III","start","Adam Śnieżek","Klub Parlamentarny Akcji Wyborczej Solidarność"
"1391","III","end","Adam Śnieżek","Klub Parlamentarny Akcji Wyborczej Solidarność"
"1392","III","start","Adam Wędrychowicz","Posłowie niezrzeszeni"
"1393","III","end","Adam Wędrychowicz","Ruch Odbudowy Polski"
"1394","III","start","Adam Żyliński","Klub Parlamentarny Unii Wolności"
"1395","III","end","Adam Żyliński","Klub Parlamentarny Unii Wolności"
"1396","III","start","Agnieszka Pasternak","Klub Parlamentarny Sojuszu Lewicy Demokratycznej"
"1397","III","end","Agnieszka Pasternak","Klub Parlamentarny Sojuszu Lewicy Demokratycznej"
"1398","III","start","Aleksander Bentkowski","Klub Parlamentarny Polskiego Stronnictwa Ludowego"
"1399","III","end","Aleksander Bentkowski","Klub Parlamentarny Polskiego Stronnictwa Ludowego"
"1400","III","start","Aleksander Hall","Klub Parlamentarny Stronnictwa Konserwatywno-Ludowego"
"1401","III","end","Aleksander Hall","Akcja Wyborcza Solidarność"
"1402","III","start","Aleksandra Jakubowska","Klub Parlamentarny Sojuszu Lewicy Demokratycznej"
"1403","III","end","Aleksandra Jakubowska","Klub Parlamentarny Sojuszu Lewicy Demokratycznej"
"1404","III","start","Alfred Owoc","Klub Parlamentarny Sojuszu Lewicy Demokratycznej"
"1405","III","end","Alfred Owoc","Klub Parlamentarny Sojuszu Lewicy Demokratycznej"
"1406","III","start","Alicja Murynowicz","Klub Parlamentarny Sojuszu Lewicy Demokratycznej"
"1407","III","end","Alicja Murynowicz","Klub Parlamentarny Sojuszu Lewicy Demokratycznej"
"1408","III","start","Andrzej Anusz","Klub Parlamentarny Akcji Wyborczej Solidarność"
"1409","III","end","Andrzej Anusz","Klub Parlamentarny Akcji Wyborczej Solidarność"
"1410","III","start","Andrzej Brachmański","Klub Parlamentarny Sojuszu Lewicy Demokratycznej"
"1411","III","end","Andrzej Brachmański","Klub Parlamentarny Sojuszu Lewicy Demokratycznej"
"1412","III","start","Andrzej Brzeski","Posłowie niezrzeszeni"
"1413","III","end","Andrzej Brzeski","Akcja Wyborcza Solidarność"
"1414","III","start","Andrzej Chrzanowski","Klub Parlamentarny Akcji Wyborczej Solidarność"
"1415","III","end","Andrzej Chrzanowski","Klub Parlamentarny Akcji Wyborczej Solidarność"
"1416","III","start","Andrzej Folwarczny","Klub Parlamentarny Unii Wolności"
"1417","III","end","Andrzej Folwarczny","Klub Parlamentarny Unii Wolności"
"1418","III","start","Andrzej Gargaś","Klub Parlamentarny Akcji Wyborczej Solidarność"
"1419","III","end","Andrzej Gargaś","Klub Parlamentarny Akcji Wyborczej Solidarność"
"1420","III","start","Andrzej Kozioł","Klub Parlamentarny Akcji Wyborczej Solidarność"
"1421","III","end","Andrzej Kozioł","Klub Parlamentarny Akcji Wyborczej Solidarność"
"1422","III","start","Andrzej Olszewski","Klub Parlamentarny Sojuszu Lewicy Demokratycznej"
"1423","III","end","Andrzej Olszewski","Klub Parlamentarny Sojuszu Lewicy Demokratycznej"
"1424","III","start","Andrzej Osnowski","Klub Parlamentarny Akcji Wyborczej Solidarność"
"1425","III","end","Andrzej Osnowski","Klub Parlamentarny Akcji Wyborczej Solidarność"
"1426","III","start","Andrzej Otręba","Klub Parlamentarny Sojuszu Lewicy Demokratycznej"
"1427","III","end","Andrzej Otręba","Klub Parlamentarny Sojuszu Lewicy Demokratycznej"
"1428","III","start","Andrzej Pęczak","Klub Parlamentarny Sojuszu Lewicy Demokratycznej"
"1429","III","end","Andrzej Pęczak","Klub Parlamentarny Sojuszu Lewicy Demokratycznej"
"1430","III","start","Andrzej Piłat","Klub Parlamentarny Sojuszu Lewicy Demokratycznej"
"1431","III","end","Andrzej Piłat","Klub Parlamentarny Sojuszu Lewicy Demokratycznej"
"1432","III","start","Andrzej Potocki","Klub Parlamentarny Unii Wolności"
"1433","III","end","Andrzej Potocki","Klub Parlamentarny Unii Wolności"
"1434","III","start","Andrzej Skorulski","Klub Parlamentarny Sojuszu Lewicy Demokratycznej"
"1435","III","end","Andrzej Skorulski","Klub Parlamentarny Sojuszu Lewicy Demokratycznej"
"1436","III","start","Andrzej Słomski","Klub Parlamentarny Sojuszu Lewicy Demokratycznej"
"1437","III","end","Andrzej Słomski","Klub Parlamentarny Sojuszu Lewicy Demokratycznej"
"1438","III","start","Andrzej Smirnow","Klub Parlamentarny Akcji Wyborczej Solidarność"
"1439","III","end","Andrzej Smirnow","Klub Parlamentarny Akcji Wyborczej Solidarność"
"1440","III","start","Andrzej Smoliński","Klub Parlamentarny Akcji Wyborczej Solidarność"
"1441","III","end","Andrzej Smoliński","Klub Parlamentarny Akcji Wyborczej Solidarność"
"1442","III","start","Andrzej Szarawarski","Klub Parlamentarny Sojuszu Lewicy Demokratycznej"
"1443","III","end","Andrzej Szarawarski","Klub Parlamentarny Sojuszu Lewicy Demokratycznej"
"1444","III","start","Andrzej Szkaradek","Klub Parlamentarny Akcji Wyborczej Solidarność"
"1445","III","end","Andrzej Szkaradek","Klub Parlamentarny Akcji Wyborczej Solidarność"
"1446","III","start","Andrzej Umiński","Klub Parlamentarny Sojuszu Lewicy Demokratycznej"
"1447","III","end","Andrzej Umiński","Klub Parlamentarny Sojuszu Lewicy Demokratycznej"
"1448","III","start","Andrzej Wielowieyski","Klub Parlamentarny Unii Wolności"
"1449","III","end","Andrzej Wielowieyski","Klub Parlamentarny Unii Wolności"
"1450","III","start","Andrzej Wojtyła","Klub Parlamentarny Stronnictwa Konserwatywno-Ludowego"
"1451","III","end","Andrzej Wojtyła","Akcja Wyborcza Solidarność"
"1452","III","start","Andrzej Woźnicki","Klub Parlamentarny Akcji Wyborczej Solidarność"
"1453","III","end","Andrzej Woźnicki","Klub Parlamentarny Akcji Wyborczej Solidarność"
"1454","III","start","Andrzej Zając","Klub Parlamentarny Sojuszu Lewicy Demokratycznej"
"1455","III","end","Andrzej Zając","Klub Parlamentarny Sojuszu Lewicy Demokratycznej"
"1456","III","start","Andrzej Zapałowski","Posłowie niezrzeszeni"
"1457","III","end","Andrzej Zapałowski","Akcja Wyborcza Solidarność"
"1458","III","start","Andrzej Żelazowski","Klub Parlamentarny Sojuszu Lewicy Demokratycznej"
"1459","III","end","Andrzej Żelazowski","Klub Parlamentarny Sojuszu Lewicy Demokratycznej"
"1460","III","start","Anna Bańkowska","Klub Parlamentarny Sojuszu Lewicy Demokratycznej"
"1461","III","end","Anna Bańkowska","Klub Parlamentarny Sojuszu Lewicy Demokratycznej"
"1462","III","start","Anna Filek","Klub Parlamentarny Sojuszu Lewicy Demokratycznej"
"1463","III","end","Anna Filek","Klub Parlamentarny Sojuszu Lewicy Demokratycznej"
"1464","III","start","Anna Sobecka","Posłowie niezrzeszeni"
"1465","III","end","Anna Sobecka","Akcja Wyborcza Solidarność"
"1466","III","start","Anna Zalewska","Klub Parlamentarny Sojuszu Lewicy Demokratycznej"
"1467","III","end","Anna Zalewska","Klub Parlamentarny Sojuszu Lewicy Demokratycznej"
"1468","III","start","Antoni Kobielusz","Klub Parlamentarny Sojuszu Lewicy Demokratycznej"
"1469","III","end","Antoni Kobielusz","Klub Parlamentarny Sojuszu Lewicy Demokratycznej"
"1470","III","start","Antoni Macierewicz","Posłowie niezrzeszeni"
"1471","III","end","Antoni Macierewicz","Ruch Odbudowy Polski"
"1472","III","start","Antoni Szymański","Klub Parlamentarny Akcji Wyborczej Solidarność"
"1473","III","end","Antoni Szymański","Klub Parlamentarny Akcji Wyborczej Solidarność"
"1474","III","start","Antoni Tyczka","Klub Parlamentarny Akcji Wyborczej Solidarność"
"1475","III","end","Antoni Tyczka","Klub Parlamentarny Akcji Wyborczej Solidarność"
"1476","III","start","Artur Balazs","Klub Parlamentarny Stronnictwa Konserwatywno-Ludowego"
"1477","III","end","Artur Balazs","Akcja Wyborcza Solidarność"
"1478","III","start","Barbara Blida","Klub Parlamentarny Sojuszu Lewicy Demokratycznej"
"1479","III","end","Barbara Blida","Klub Parlamentarny Sojuszu Lewicy Demokratycznej"
"1480","III","start","Barbara Frączek","Klub Parlamentarny Akcji Wyborczej Solidarność"
"1481","III","end","Barbara Frączek","Klub Parlamentarny Akcji Wyborczej Solidarność"
"1482","III","start","Barbara Hyla-Makowska","Klub Parlamentarny Sojuszu Lewicy Demokratycznej"
"1483","III","end","Barbara Hyla-Makowska","Klub Parlamentarny Sojuszu Lewicy Demokratycznej"
"1484","III","start","Barbara Imiołczyk","Klub Parlamentarny Unii Wolności"
"1485","III","end","Barbara Imiołczyk","Klub Parlamentarny Unii Wolności"
"1486","III","start","Bernard Szweda","Posłowie niezrzeszeni"
"1487","III","end","Bernard Szweda","Akcja Wyborcza Solidarność"
"1488","III","start","Bogdan Borusewicz","Klub Parlamentarny Unii Wolności"
"1489","III","end","Bogdan Borusewicz","Klub Parlamentarny Unii Wolności"
"1490","III","start","Bogdan Bujak","Klub Parlamentarny Sojuszu Lewicy Demokratycznej"
"1491","III","end","Bogdan Bujak","Klub Parlamentarny Sojuszu Lewicy Demokratycznej"
"1492","III","start","Bogdan Lewandowski","Klub Parlamentarny Sojuszu Lewicy Demokratycznej"
"1493","III","end","Bogdan Lewandowski","Klub Parlamentarny Sojuszu Lewicy Demokratycznej"
"1494","III","start","Bogdan Pęk","Klub Parlamentarny Polskiego Stronnictwa Ludowego"
"1495","III","end","Bogdan Pęk","Klub Parlamentarny Polskiego Stronnictwa Ludowego"
"1496","III","start","Bogumił Borowski","Klub Parlamentarny Sojuszu Lewicy Demokratycznej"
"1497","III","end","Bogumił Borowski","Klub Parlamentarny Sojuszu Lewicy Demokratycznej"
"1498","III","start","Bogusław Liberadzki","Klub Parlamentarny Sojuszu Lewicy Demokratycznej"
"1499","III","end","Bogusław Liberadzki","Klub Parlamentarny Sojuszu Lewicy Demokratycznej"
"1500","III","start","Bronisław Cieślak","Klub Parlamentarny Sojuszu Lewicy Demokratycznej"
"1501","III","end","Bronisław Cieślak","Klub Parlamentarny Sojuszu Lewicy Demokratycznej"
"1502","III","start","Bronisław Dankowski","Klub Parlamentarny Sojuszu Lewicy Demokratycznej"
"1503","III","end","Bronisław Dankowski","Klub Parlamentarny Sojuszu Lewicy Demokratycznej"
"1504","III","start","Bronisław Geremek","Klub Parlamentarny Unii Wolności"
"1505","III","end","Bronisław Geremek","Klub Parlamentarny Unii Wolności"
"1506","III","start","Bronisław Komorowski","Klub Parlamentarny Stronnictwa Konserwatywno-Ludowego"
"1507","III","end","Bronisław Komorowski","Akcja Wyborcza Solidarność"
"1508","III","start","Bronisława Kowalska","Klub Parlamentarny Sojuszu Lewicy Demokratycznej"
"1509","III","end","Bronisława Kowalska","Klub Parlamentarny Sojuszu Lewicy Demokratycznej"
"1510","III","start","Cezary Stryjak","Klub Parlamentarny Sojuszu Lewicy Demokratycznej"
"1511","III","end","Cezary Stryjak","Klub Parlamentarny Sojuszu Lewicy Demokratycznej"
"1512","III","start","Czesław Bielecki","Klub Parlamentarny Akcji Wyborczej Solidarność"
"1513","III","end","Czesław Bielecki","Klub Parlamentarny Akcji Wyborczej Solidarność"
"1514","III","start","Czesław Cieślak","Klub Parlamentarny Polskiego Stronnictwa Ludowego"
"1515","III","end","Czesław Cieślak","Klub Parlamentarny Polskiego Stronnictwa Ludowego"
"1516","III","start","Czesław Fiedorowicz","Klub Parlamentarny Unii Wolności"
"1517","III","end","Czesław Fiedorowicz","Klub Parlamentarny Unii Wolności"
"1518","III","start","Czesław Pogoda","Klub Parlamentarny Sojuszu Lewicy Demokratycznej"
"1519","III","end","Czesław Pogoda","Klub Parlamentarny Sojuszu Lewicy Demokratycznej"
"1520","III","start","Czesław Ryszka","Klub Parlamentarny Akcji Wyborczej Solidarność"
"1521","III","end","Czesław Ryszka","Klub Parlamentarny Akcji Wyborczej Solidarność"
"1522","III","start","Czesław Siekierski","Klub Parlamentarny Polskiego Stronnictwa Ludowego"
"1523","III","end","Czesław Siekierski","Klub Parlamentarny Polskiego Stronnictwa Ludowego"
"1524","III","start","Czesław Sobierajski","Klub Parlamentarny Akcji Wyborczej Solidarność"
"1525","III","end","Czesław Sobierajski","Klub Parlamentarny Akcji Wyborczej Solidarność"
"1526","III","start","Czesław Śleziak","Klub Parlamentarny Sojuszu Lewicy Demokratycznej"
"1527","III","end","Czesław Śleziak","Klub Parlamentarny Sojuszu Lewicy Demokratycznej"
"1528","III","start","Danuta Ciborowska","Klub Parlamentarny Sojuszu Lewicy Demokratycznej"
"1529","III","end","Danuta Ciborowska","Klub Parlamentarny Sojuszu Lewicy Demokratycznej"
"1530","III","start","Danuta Grabowska","Klub Parlamentarny Sojuszu Lewicy Demokratycznej"
"1531","III","end","Danuta Grabowska","Klub Parlamentarny Sojuszu Lewicy Demokratycznej"
"1532","III","start","Dariusz Grabowski","Posłowie niezrzeszeni"
"1533","III","end","Dariusz Grabowski","Ruch Odbudowy Polski"
"1534","III","start","Dariusz Kubiak","Klub Parlamentarny Akcji Wyborczej Solidarność"
"1535","III","end","Dariusz Kubiak","Klub Parlamentarny Akcji Wyborczej Solidarność"
"1536","III","start","Dariusz Wójcik","Klub Parlamentarny Akcji Wyborczej Solidarność"
"1537","III","end","Dariusz Wójcik","Klub Parlamentarny Akcji Wyborczej Solidarność"
"1538","III","start","Dorota Arciszewska-Mielewczyk","Klub Parlamentarny Stronnictwa Konserwatywno-Ludowego"
"1539","III","end","Dorota Arciszewska-Mielewczyk","Akcja Wyborcza Solidarność"
"1540","III","start","Edward Daszkiewicz","Posłowie niezrzeszeni"
"1541","III","end","Edward Daszkiewicz","Akcja Wyborcza Solidarność"
"1542","III","start","Edward Maniura","Klub Parlamentarny Stronnictwa Konserwatywno-Ludowego"
"1543","III","end","Edward Maniura","Akcja Wyborcza Solidarność"
"1544","III","start","Edward Wende","Klub Parlamentarny Unii Wolności"
"1545","III","end","Edward Wende","Klub Parlamentarny Unii Wolności"
"1546","III","start","Elżbieta Adamska-Wedler","Klub Parlamentarny Akcji Wyborczej Solidarność"
"1547","III","end","Elżbieta Adamska-Wedler","Klub Parlamentarny Akcji Wyborczej Solidarność"
"1548","III","start","Elżbieta Barys","Klub Parlamentarny Akcji Wyborczej Solidarność"
"1549","III","end","Elżbieta Barys","Klub Parlamentarny Akcji Wyborczej Solidarność"
"1550","III","start","Elżbieta Piela-Mielczarek","Klub Parlamentarny Sojuszu Lewicy Demokratycznej"
"1551","III","end","Elżbieta Piela-Mielczarek","Klub Parlamentarny Sojuszu Lewicy Demokratycznej"
"1552","III","start","Elżbieta Radziszewska","Posłowie niezrzeszeni"
"1553","III","end","Elżbieta Radziszewska","Unia Wolności"
"1554","III","start","Elżbieta Szparaga","Klub Parlamentarny Sojuszu Lewicy Demokratycznej"
"1555","III","end","Elżbieta Szparaga","Klub Parlamentarny Sojuszu Lewicy Demokratycznej"
"1556","III","start","Epaminondas Osiatyński","Klub Parlamentarny Unii Wolności"
"1557","III","end","Epaminondas Osiatyński","Klub Parlamentarny Unii Wolności"
"1558","III","start","Eugeniusz Kłopotek","Klub Parlamentarny Polskiego Stronnictwa Ludowego"
"1559","III","end","Eugeniusz Kłopotek","Klub Parlamentarny Polskiego Stronnictwa Ludowego"
"1560","III","start","Ewa Freyberg","Klub Parlamentarny Sojuszu Lewicy Demokratycznej"
"1561","III","end","Ewa Freyberg","Klub Parlamentarny Sojuszu Lewicy Demokratycznej"
"1562","III","start","Ewa Janik","Klub Parlamentarny Sojuszu Lewicy Demokratycznej"
"1563","III","end","Ewa Janik","Klub Parlamentarny Sojuszu Lewicy Demokratycznej"
"1564","III","start","Ewa Mańkowska","Klub Parlamentarny Akcji Wyborczej Solidarność"
"1565","III","end","Ewa Mańkowska","Klub Parlamentarny Akcji Wyborczej Solidarność"
"1566","III","start","Ewa Sikorska-Trela","Klub Parlamentarny Akcji Wyborczej Solidarność"
"1567","III","end","Ewa Sikorska-Trela","Klub Parlamentarny Akcji Wyborczej Solidarność"
"1568","III","start","Ewa Tomaszewska","Klub Parlamentarny Akcji Wyborczej Solidarność"
"1569","III","end","Ewa Tomaszewska","Klub Parlamentarny Akcji Wyborczej Solidarność"
"1570","III","start","Franciszek Adamczyk","Klub Parlamentarny Akcji Wyborczej Solidarność"
"1571","III","end","Franciszek Adamczyk","Klub Parlamentarny Akcji Wyborczej Solidarność"
"1572","III","start","Franciszek Potulski","Klub Parlamentarny Sojuszu Lewicy Demokratycznej"
"1573","III","end","Franciszek Potulski","Klub Parlamentarny Sojuszu Lewicy Demokratycznej"
"1574","III","start","Franciszek Stefaniuk","Klub Parlamentarny Polskiego Stronnictwa Ludowego"
"1575","III","end","Franciszek Stefaniuk","Klub Parlamentarny Polskiego Stronnictwa Ludowego"
"1576","III","start","Franciszek Szelwicki","Klub Parlamentarny Akcji Wyborczej Solidarność"
"1577","III","end","Franciszek Szelwicki","Klub Parlamentarny Akcji Wyborczej Solidarność"
"1578","III","start","Gabriel Janowski","Posłowie niezrzeszeni"
"1579","III","end","Gabriel Janowski","Akcja Wyborcza Solidarność"
"1580","III","start","Grażyna Langowska","Klub Parlamentarny Akcji Wyborczej Solidarność"
"1581","III","end","Grażyna Langowska","Klub Parlamentarny Akcji Wyborczej Solidarność"
"1582","III","start","Grażyna Sołtyk","Klub Parlamentarny Prawo i Sprawiedliwość"
"1583","III","end","Grażyna Sołtyk","Akcja Wyborcza Solidarność"
"1584","III","start","Grażyna Staniszewska","Klub Parlamentarny Unii Wolności"
"1585","III","end","Grażyna Staniszewska","Klub Parlamentarny Unii Wolności"
"1586","III","start","Grzegorz Cygonik","Klub Parlamentarny Akcji Wyborczej Solidarność"
"1587","III","end","Grzegorz Cygonik","Klub Parlamentarny Akcji Wyborczej Solidarność"
"1588","III","start","Grzegorz Gruszka","Klub Parlamentarny Sojuszu Lewicy Demokratycznej"
"1589","III","end","Grzegorz Gruszka","Klub Parlamentarny Sojuszu Lewicy Demokratycznej"
"1590","III","start","Grzegorz Kurczuk","Klub Parlamentarny Sojuszu Lewicy Demokratycznej"
"1591","III","end","Grzegorz Kurczuk","Klub Parlamentarny Sojuszu Lewicy Demokratycznej"
"1592","III","start","Grzegorz Opala","Klub Parlamentarny Akcji Wyborczej Solidarność"
"1593","III","end","Grzegorz Opala","Klub Parlamentarny Akcji Wyborczej Solidarność"
"1594","III","start","Grzegorz Piechowiak","Klub Parlamentarny Akcji Wyborczej Solidarność"
"1595","III","end","Grzegorz Piechowiak","Klub Parlamentarny Akcji Wyborczej Solidarność"
"1596","III","start","Grzegorz Schetyna","Posłowie niezrzeszeni"
"1597","III","end","Grzegorz Schetyna","Unia Wolności"
"1598","III","start","Grzegorz Schreiber","Klub Parlamentarny Prawo i Sprawiedliwość"
"1599","III","end","Grzegorz Schreiber","Akcja Wyborcza Solidarność"
"1600","III","start","Grzegorz Walendzik","Klub Parlamentarny Akcji Wyborczej Solidarność"
"1601","III","end","Grzegorz Walendzik","Klub Parlamentarny Akcji Wyborczej Solidarność"
"1602","III","start","Grzegorz Woźny","Klub Parlamentarny Sojuszu Lewicy Demokratycznej"
"1603","III","end","Grzegorz Woźny","Klub Parlamentarny Sojuszu Lewicy Demokratycznej"
"1604","III","start","Halina Nowina Konopka","Koło Poselskie Porozumienia Polskiego"
"1605","III","end","Halina Nowina Konopka","Akcja Wyborcza Solidarność"
"1606","III","start","Hanna Suchocka","Klub Parlamentarny Unii Wolności"
"1607","III","end","Hanna Suchocka","Klub Parlamentarny Unii Wolności"
"1608","III","start","Helena Góralska","Klub Parlamentarny Unii Wolności"
"1609","III","end","Helena Góralska","Klub Parlamentarny Unii Wolności"
"1610","III","start","Helmut Paździor","Posłowie niezrzeszeni"
"1611","III","end","Helmut Paździor","KWW Mniejszość Niemiecka"
"1612","III","start","Henryk Długosz","Klub Parlamentarny Sojuszu Lewicy Demokratycznej"
"1613","III","end","Henryk Długosz","Klub Parlamentarny Sojuszu Lewicy Demokratycznej"
"1614","III","start","Henryk Dykty","Klub Parlamentarny Akcji Wyborczej Solidarność"
"1615","III","end","Henryk Dykty","Klub Parlamentarny Akcji Wyborczej Solidarność"
"1616","III","start","Henryk Goryszewski","Posłowie niezrzeszeni"
"1617","III","end","Henryk Goryszewski","Akcja Wyborcza Solidarność"
"1618","III","start","Henryk Kroll","Posłowie niezrzeszeni"
"1619","III","end","Henryk Kroll","KWW Mniejszość Niemiecka"
"1620","III","start","Henryk Wujec","Klub Parlamentarny Unii Wolności"
