"lista","poprzedni"
"[ac]","Prawo i Sprawiedliwość"
"[an]","Platforma Obywatelska RP"
"[ap]","Ruch Palikota"
"[as]","Sojusz Lewicy Demokratycznej"
"[at]","KWW Mniejszość Niemiecka"
