"lista","poprzedni"
"[aa]","Platforma Obywatelska RP"
"[ai]","KWW Mniejszość Niemiecka"
"[f]","Lewica i Demokraci SLD+SDPL+PD+UP"
"[n]","Prawo i Sprawiedliwość"
