"lista","poprzedni"
"[aa]","Towarzystwo Społeczno-Kulturalne Niemców"
"[m]","Polskie Stronnictwo Ludowe"
"[n]","Unia Pracy"
"[v]","Sojusz Lewicy Demokratycznej"
"[w]","Konfederacja Polski Niepodległej"
"[x]","Bezpartyjnego Bloku Wspierania Reform"
"[y]","Unia Demokratyczna"
"Klub Parlamentarny Unii Wolności[t]","Unia Wolności"
